year,month,admin,category,commodity,price,usdprice
2017,2,Abyan,cereals and tubers,Wheat,150.0,0.5998
2017,2,Abyan,cereals and tubers,Wheat flour,170.0,0.6797
2017,2,Abyan,"meat, fish and eggs",Eggs,39.0,0.1559
2017,2,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",30000.0,119.9552
2017,2,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,2,Abyan,miscellaneous food,Sugar,263.0,1.0516
2017,2,Abyan,non-food,Exchange rate (unofficial),337.5,1.3495
2017,2,Abyan,non-food,Fuel (diesel),294.0,1.1756
2017,2,Abyan,non-food,Fuel (gas),3000.0,11.9955
2017,2,Abyan,non-food,Fuel (petrol-gasoline),329.0,1.3155
2017,2,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,2,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,2,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,2,Abyan,oil and fats,Oil (vegetable),423.0,1.6914
2017,2,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,2,Abyan,pulses and nuts,Beans (white),400.0,1.5994
2017,2,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,2,Abyan,pulses and nuts,"Peas (yellow, split)",500.0,1.9993
2017,2,Abyan,vegetables and fruits,Onions,235.0,0.9396
2017,2,Abyan,vegetables and fruits,Tomatoes,100.0,0.3999
2017,3,Abyan,cereals and tubers,Potatoes,200.0,0.7997
2017,3,Abyan,cereals and tubers,Rice (imported),450.0,1.7993
2017,3,Abyan,cereals and tubers,Wheat,148.0,0.5918
2017,3,Abyan,cereals and tubers,Wheat flour,170.0,0.6797
2017,3,Abyan,"meat, fish and eggs",Eggs,36.0,0.1439
2017,3,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",28500.0,113.9574
2017,3,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,3,Abyan,miscellaneous food,Sugar,250.0,0.9996
2017,3,Abyan,non-food,Exchange rate (unofficial),343.75,1.3745
2017,3,Abyan,non-food,Fuel (diesel),221.0,0.8837
2017,3,Abyan,non-food,Fuel (gas),2750.0,10.9959
2017,3,Abyan,non-food,Fuel (petrol-gasoline),206.0,0.8237
2017,3,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,3,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,3,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,3,Abyan,oil and fats,Oil (vegetable),374.0,1.4954
2017,3,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,3,Abyan,pulses and nuts,Beans (white),400.0,1.5994
2017,3,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,3,Abyan,pulses and nuts,"Peas (yellow, split)",500.0,1.9993
2017,3,Abyan,vegetables and fruits,Onions,150.0,0.5998
2017,3,Abyan,vegetables and fruits,Tomatoes,188.0,0.7517
2017,4,Abyan,cereals and tubers,Potatoes,200.0,0.7997
2017,4,Abyan,cereals and tubers,Rice (imported),458.0,1.8313
2017,4,Abyan,cereals and tubers,Wheat,140.0,0.5598
2017,4,Abyan,cereals and tubers,Wheat flour,163.0,0.6518
2017,4,Abyan,"meat, fish and eggs",Eggs,33.0,0.132
2017,4,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",31500.0,125.9529
2017,4,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,4,Abyan,miscellaneous food,Sugar,253.0,1.0116
2017,4,Abyan,non-food,Exchange rate (unofficial),364.25,1.4565
2017,4,Abyan,non-food,Fuel (diesel),178.0,0.7117
2017,4,Abyan,non-food,Fuel (gas),2500.0,9.9963
2017,4,Abyan,non-food,Fuel (petrol-gasoline),195.0,0.7797
2017,4,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,4,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,4,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,4,Abyan,oil and fats,Oil (vegetable),360.0,1.4395
2017,4,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,4,Abyan,pulses and nuts,Beans (white),400.0,1.5994
2017,4,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,4,Abyan,pulses and nuts,"Peas (yellow, split)",275.0,1.0996
2017,4,Abyan,vegetables and fruits,Onions,150.0,0.5998
2017,4,Abyan,vegetables and fruits,Tomatoes,263.0,1.0516
2017,5,Abyan,cereals and tubers,Potatoes,200.0,0.7997
2017,5,Abyan,cereals and tubers,Rice (imported),479.0,1.9153
2017,5,Abyan,cereals and tubers,Wheat,145.0,0.5798
2017,5,Abyan,cereals and tubers,Wheat flour,165.0,0.6598
2017,5,Abyan,"meat, fish and eggs",Eggs,28.0,0.112
2017,5,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",33000.0,131.9507
2017,5,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,5,Abyan,miscellaneous food,Sugar,253.0,1.0116
2017,5,Abyan,non-food,Exchange rate (unofficial),358.5,1.4335
2017,5,Abyan,non-food,Fuel (diesel),170.0,0.6797
2017,5,Abyan,non-food,Fuel (gas),3300.0,13.1951
2017,5,Abyan,non-food,Fuel (petrol-gasoline),243.0,0.9716
2017,5,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,5,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,5,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,5,Abyan,oil and fats,Oil (vegetable),360.0,1.4395
2017,5,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,5,Abyan,pulses and nuts,Beans (white),400.0,1.5994
2017,5,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,5,Abyan,pulses and nuts,"Peas (yellow, split)",213.0,0.8517
2017,5,Abyan,vegetables and fruits,Onions,150.0,0.5998
2017,5,Abyan,vegetables and fruits,Tomatoes,200.0,0.7997
2017,6,Abyan,cereals and tubers,Potatoes,175.0,0.6997
2017,6,Abyan,cereals and tubers,Rice (imported),500.0,1.9993
2017,6,Abyan,cereals and tubers,Wheat,150.0,0.5998
2017,6,Abyan,cereals and tubers,Wheat flour,170.0,0.6797
2017,6,Abyan,"meat, fish and eggs",Eggs,25.0,0.1
2017,6,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",35000.0,139.9477
2017,6,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,6,Abyan,miscellaneous food,Sugar,250.0,0.9996
2017,6,Abyan,non-food,Exchange rate (unofficial),361.5,1.4455
2017,6,Abyan,non-food,Fuel (diesel),170.0,0.6797
2017,6,Abyan,non-food,Fuel (gas),2438.0,9.7484
2017,6,Abyan,non-food,Fuel (petrol-gasoline),259.0,1.0356
2017,6,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,6,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,6,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,6,Abyan,oil and fats,Oil (vegetable),360.0,1.4395
2017,6,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,6,Abyan,pulses and nuts,Beans (white),400.0,1.5994
2017,6,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,6,Abyan,pulses and nuts,"Peas (yellow, split)",200.0,0.7997
2017,6,Abyan,vegetables and fruits,Onions,175.0,0.6997
2017,6,Abyan,vegetables and fruits,Tomatoes,300.0,1.1996
2017,7,Abyan,cereals and tubers,Potatoes,150.0,0.5998
2017,7,Abyan,cereals and tubers,Rice (imported),500.0,1.9993
2017,7,Abyan,cereals and tubers,Wheat,135.0,0.5398
2017,7,Abyan,cereals and tubers,Wheat flour,155.0,0.6198
2017,7,Abyan,"meat, fish and eggs",Eggs,25.0,0.1
2017,7,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",35000.0,139.9477
2017,7,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,7,Abyan,miscellaneous food,Sugar,250.0,0.9996
2017,7,Abyan,non-food,Exchange rate (unofficial),371.25,1.4844
2017,7,Abyan,non-food,Fuel (diesel),170.0,0.6797
2017,7,Abyan,non-food,Fuel (gas),2438.0,9.7484
2017,7,Abyan,non-food,Fuel (petrol-gasoline),321.0,1.2835
2017,7,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,7,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,7,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,7,Abyan,oil and fats,Oil (vegetable),350.0,1.3995
2017,7,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,7,Abyan,pulses and nuts,Beans (white),500.0,1.9993
2017,7,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,7,Abyan,pulses and nuts,"Peas (yellow, split)",200.0,0.7997
2017,7,Abyan,vegetables and fruits,Onions,250.0,0.9996
2017,7,Abyan,vegetables and fruits,Tomatoes,350.0,1.3995
2017,8,Abyan,cereals and tubers,Potatoes,163.0,0.6518
2017,8,Abyan,cereals and tubers,Rice (imported),500.0,1.9993
2017,8,Abyan,cereals and tubers,Wheat,130.0,0.5198
2017,8,Abyan,cereals and tubers,Wheat flour,150.0,0.5998
2017,8,Abyan,"meat, fish and eggs",Eggs,25.0,0.1
2017,8,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",35000.0,139.9477
2017,8,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,8,Abyan,miscellaneous food,Sugar,250.0,0.9996
2017,8,Abyan,non-food,Exchange rate (unofficial),374.5,1.4974
2017,8,Abyan,non-food,Fuel (diesel),230.0,0.9197
2017,8,Abyan,non-food,Fuel (gas),2250.0,8.9966
2017,8,Abyan,non-food,Fuel (petrol-gasoline),265.0,1.0596
2017,8,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,8,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,8,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,8,Abyan,oil and fats,Oil (vegetable),356.0,1.4235
2017,8,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,8,Abyan,pulses and nuts,Beans (white),488.0,1.9513
2017,8,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,8,Abyan,pulses and nuts,"Peas (yellow, split)",200.0,0.7997
2017,8,Abyan,vegetables and fruits,Onions,338.0,1.3515
2017,8,Abyan,vegetables and fruits,Tomatoes,400.0,1.5994
2017,9,Abyan,cereals and tubers,Potatoes,200.0,0.7997
2017,9,Abyan,cereals and tubers,Rice (imported),500.0,1.9993
2017,9,Abyan,cereals and tubers,Wheat,130.0,0.5198
2017,9,Abyan,cereals and tubers,Wheat flour,150.0,0.5998
2017,9,Abyan,"meat, fish and eggs",Eggs,33.0,0.132
2017,9,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",38750.0,154.9421
2017,9,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,9,Abyan,miscellaneous food,Sugar,235.0,0.9396
2017,9,Abyan,non-food,Exchange rate (unofficial),379.0,1.5154
2017,9,Abyan,non-food,Fuel (diesel),225.0,0.8997
2017,9,Abyan,non-food,Fuel (gas),2250.0,8.9966
2017,9,Abyan,non-food,Fuel (petrol-gasoline),330.0,1.3195
2017,9,Abyan,non-food,Milling cost (wheat),1000.0,3.9985
2017,9,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,9,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,9,Abyan,oil and fats,Oil (vegetable),343.0,1.3715
2017,9,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,9,Abyan,pulses and nuts,Beans (white),450.0,1.7993
2017,9,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,9,Abyan,pulses and nuts,"Peas (yellow, split)",200.0,0.7997
2017,9,Abyan,vegetables and fruits,Onions,400.0,1.5994
2017,9,Abyan,vegetables and fruits,Tomatoes,400.0,1.5994
2017,10,Abyan,cereals and tubers,Potatoes,250.0,0.9996
2017,10,Abyan,cereals and tubers,Rice (imported),512.5,2.0492
2017,10,Abyan,cereals and tubers,Wheat,130.0,0.5198
2017,10,Abyan,cereals and tubers,Wheat flour,150.0,0.5998
2017,10,Abyan,"meat, fish and eggs",Eggs,32.5,0.13
2017,10,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",35000.0,139.9477
2017,10,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,10,Abyan,miscellaneous food,Sugar,235.0,0.9396
2017,10,Abyan,non-food,Exchange rate (unofficial),399.5,1.5974
2017,10,Abyan,non-food,Fuel (diesel),225.0,0.8997
2017,10,Abyan,non-food,Fuel (gas),2750.0,10.9959
2017,10,Abyan,non-food,Fuel (petrol-gasoline),252.5,1.0096
2017,10,Abyan,non-food,Milling cost (wheat),850.0,3.3987
2017,10,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,10,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,10,Abyan,oil and fats,Oil (vegetable),350.0,1.3995
2017,10,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,10,Abyan,pulses and nuts,Beans (white),450.0,1.7993
2017,10,Abyan,pulses and nuts,Lentils,525.0,2.0992
2017,10,Abyan,pulses and nuts,"Peas (yellow, split)",237.5,0.9496
2017,10,Abyan,vegetables and fruits,Onions,400.0,1.5994
2017,10,Abyan,vegetables and fruits,Tomatoes,500.0,1.9993
2017,11,Abyan,cereals and tubers,Potatoes,262.5,1.0496
2017,11,Abyan,cereals and tubers,Rice (imported),575.0,2.2991
2017,11,Abyan,cereals and tubers,Wheat,140.0,0.5598
2017,11,Abyan,cereals and tubers,Wheat flour,157.5,0.6298
2017,11,Abyan,"meat, fish and eggs",Eggs,32.5,0.13
2017,11,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",35000.0,139.9477
2017,11,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,11,Abyan,miscellaneous food,Sugar,257.5,1.0296
2017,11,Abyan,non-food,Exchange rate (unofficial),409.0,1.6354
2017,11,Abyan,non-food,Fuel (diesel),275.0,1.0996
2017,11,Abyan,non-food,Fuel (gas),3000.0,11.9955
2017,11,Abyan,non-food,Fuel (petrol-gasoline),320.0,1.2795
2017,11,Abyan,non-food,Milling cost (wheat),950.0,3.7986
2017,11,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,11,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,11,Abyan,oil and fats,Oil (vegetable),387.5,1.5494
2017,11,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,11,Abyan,pulses and nuts,Beans (white),475.0,1.8993
2017,11,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,11,Abyan,pulses and nuts,"Peas (yellow, split)",200.0,0.7997
2017,11,Abyan,vegetables and fruits,Onions,400.0,1.5994
2017,11,Abyan,vegetables and fruits,Tomatoes,375.0,1.4994
2017,12,Abyan,cereals and tubers,Potatoes,237.5,0.9496
2017,12,Abyan,cereals and tubers,Rice (imported),600.0,2.3991
2017,12,Abyan,cereals and tubers,Wheat,140.0,0.5598
2017,12,Abyan,cereals and tubers,Wheat flour,170.0,0.6797
2017,12,Abyan,"meat, fish and eggs",Eggs,30.0,0.12
2017,12,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",35000.0,139.9477
2017,12,Abyan,miscellaneous food,Salt,100.0,0.3999
2017,12,Abyan,miscellaneous food,Sugar,280.0,1.1196
2017,12,Abyan,non-food,Exchange rate (unofficial),451.25,1.8043
2017,12,Abyan,non-food,Fuel (diesel),307.5,1.2295
2017,12,Abyan,non-food,Fuel (gas),2500.0,9.9963
2017,12,Abyan,non-food,Fuel (petrol-gasoline),322.5,1.2895
2017,12,Abyan,non-food,Milling cost (wheat),800.0,3.1988
2017,12,Abyan,non-food,Wage (non-qualified labour),2500.0,9.9963
2017,12,Abyan,non-food,Wage (qualified labour),3500.0,13.9948
2017,12,Abyan,oil and fats,Oil (vegetable),405.0,1.6194
2017,12,Abyan,pulses and nuts,Beans (kidney red),600.0,2.3991
2017,12,Abyan,pulses and nuts,Beans (white),500.0,1.9993
2017,12,Abyan,pulses and nuts,Lentils,600.0,2.3991
2017,12,Abyan,pulses and nuts,"Peas (yellow, split)",250.0,0.9996
2017,12,Abyan,vegetables and fruits,Onions,300.0,1.1996
2017,12,Abyan,vegetables and fruits,Tomatoes,325.0,1.2995
2018,1,Abyan,cereals and tubers,Potatoes,275.0,1.0996
2018,1,Abyan,cereals and tubers,Rice (imported),650.0,2.599
2018,1,Abyan,cereals and tubers,Wheat,150.0,0.5998
2018,1,Abyan,cereals and tubers,Wheat flour,200.0,0.7997
2018,1,Abyan,"meat, fish and eggs",Eggs,37.5,0.1499
2018,1,Abyan,"meat, fish and eggs","Livestock (sheep, two-year-old male)",35000.0,139.9477
2018,1,Abyan,miscellaneous food,Salt,100.0,0.3999
2018,1,Abyan,miscellaneous food,Sugar,290.0,1.1596
2018,1,Abyan,non-food,Exchange rate (unofficial),465.25,1.8603
